User_name,Date,Comment_title,Comment_body,How many found it helpul,User rating
Mandar Joshi,Reviewed in India on 26 August 2021,The worst ever phone delivered to anyone.,"
  Bad Product returned within 3 hours of delivery
",,1.0 out of 5 stars
braj,Reviewed in India on 25 August 2021,Network problem and charging and processing very slow.,"
  Over all third class phone I ever purchased.
",,2.0 out of 5 stars
Nair,Reviewed in India on 25 August 2021,Super,"
  Very nice mobile with many features and space
",,5.0 out of 5 stars
Imran Shaikh,Reviewed in India on 25 August 2021,Value for money,"
  It is a very good phone ..just have one concern it has a fast charger however it does not charge quickly. It take 1 hr 45 to charge from 0-100% hence it is the only one concern. Other things whatsoever is mentioned is exactly the same. Hence it is fine.
",,5.0 out of 5 stars
Mallika.,Reviewed in India on 25 August 2021,Good phone after 1 week use,"
  best phone in this price range. easy to use. good battery life. reliable size to handle. Go for it if you are not a gamer
",,5.0 out of 5 stars
Subodh,Reviewed in India on 25 August 2021,Dabba,"
  Wastes of money do not buy M31
",,1.0 out of 5 stars
Lakshmi biju,Reviewed in India on 25 August 2021,6 month screen replacement scam by Acko,"
  The phone works well and is all good. Delivery was fine! but as in the title and rewards and promotion the phone comes with a promised 6 month screen replacement warranty from Acko. But when my phone broke and I registered with Acko, they had arranged a drop off at a nearby store for me. But when I went to the store, they had told me that had no connection with Acko. I contacted Acko multiple times and all those times they had told me that they'll some other person will contact me but they didn't it was really embarrassing to go to a store and then do all this! Will take further legal action against Acko if necessary!
",One person found this helpful,2.0 out of 5 stars
Rakhi,Reviewed in India on 25 August 2021,I got defective item,"
  Charging is too slow and Getting no sim card error within each hr
",,3.0 out of 5 stars
MANISH SHARMA,Reviewed in India on 25 August 2021,VFM 128 GB 6 GB smartphone,"
  VFM 128 GB 6 GB smartphone
",,5.0 out of 5 stars
PARDEEP SHARMA,Reviewed in India on 25 August 2021,Value for money.. Good phone,"
  Value for money.. Good phone
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 25 August 2021,GOOD ONE FOR THE BUDGET,"
  🔋 BATTERY IS GOOD
",,4.0 out of 5 stars
Amazon Customer,Reviewed in India on 25 August 2021,Camera not good . Phone processeser not good as expected.,"
  Camera not good . Phone processeser not good as expected.
",,3.0 out of 5 stars
Pradeep kumar,Reviewed in India on 25 August 2021,Supar,"
  I like this phone
",,4.0 out of 5 stars
Manoj More,Reviewed in India on 25 August 2021,💯💯💯,"
  Excellent Product from TRUSTED Brand in Affordable Price
",,5.0 out of 5 stars
sriniwash singh,Reviewed in India on 25 August 2021,Phone,"
  This is very good cell phone wahhh nice
",,5.0 out of 5 stars
Sourav Adhya,Reviewed in India on 25 August 2021,Good phone for this budget,"
  Good quality phone,battery backup is impressive.
",,5.0 out of 5 stars
Rajeswari R.,Reviewed in India on 25 August 2021,SAMSUNG M31,"
  Very good, working fine
",,5.0 out of 5 stars
Maggi,Reviewed in India on 25 August 2021,Samsung need to be more work on their products,"
  Battery charging time, worst part, in 1 hour it charge only, 8 to 9%, phone id is also slow, camera is ok ok.. Not to good, screen is good one.
",,3.0 out of 5 stars
Venkat_NGP,Reviewed in India on 25 August 2021,"Great Display, Camera and Battery but that's it!","
  Good:The display is good with vivid colours and detailing due to the sAMOLED display.Both the primary and secondary cameras are great and can well supplement for web cameras for board displays including wide angle shots.The battery is good and lasts more than a day even with heavy web and WhatsAppusage although haven't tested it with gaming.Sleek and cool design and the cover doesn't have the plastic feel. Good build quality compared to other products in the price rangeNot so good/could have been better:Poor functionality of the finger print sensor including non availability for selfies. Need 3rd party apps for enabling the sameUI doesn't integrate well with Android fratures causing confusion to new/switch usersSlightly slow when opening Google specific apps like driveCould have done better by enabling the screen fingerprint too and screenshots are still to be taken the traditional way of pressing buttons on the side.Dual apps function is still not Fully functional and some things like files and contacts may go missing between the twin apps.If one doesn't have reservations against Xiaomi products one should go for Poco M3 instead for better functionality
",,3.0 out of 5 stars
Nilesh Bhati,Reviewed in India on 25 August 2021,in range good mobile with features. But not camera n charging,"
  Fingerprint reader is good,battery life OK but charging is too slow,camera quality good but not as expected.
",,3.0 out of 5 stars
Naziya B.,Reviewed in India on 25 August 2021,Touch screen issue,"
  Touch screen not working frequently. Almost dead for 2 days now
",,1.0 out of 5 stars
Saeesh Pai Kakode,Reviewed in India on 25 August 2021,DISPLAY WAS NOT WORKING ON VERY FIRST DAY!!,,,1.0 out of 5 stars
arijitsil,Reviewed in India on 24 August 2021,Smooth userfriendly performance,"
  My earlier mobile set was Samsung J7 Prime which i used at a stretch of 6 years. I literally fall in love with Samsung Mobile Set. Nice performance. Userfriendly.
",,5.0 out of 5 stars
ref!,Reviewed in India on 24 August 2021,Suggested,"
   Battery lifeCameraSpeedStorage
",,4.0 out of 5 stars
Aayush Agarwal,Reviewed in India on 24 August 2021,Nice,"
  Nice
",,4.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,Good phone,"
  nice
",,4.0 out of 5 stars
Sindhura,Reviewed in India on 24 August 2021,Review,"
  Yes. I am fully satisfied with the product. Camera clarity is excellent and I did not come across any negative points
",,5.0 out of 5 stars
Vallika,Reviewed in India on 24 August 2021,Good phone in this price range.,"
  Battery life is good, lasts almost 2 days with full charging after being used for long hours. Does not hang while using multiple apps like meet etc.Camera quality is also good.
",,5.0 out of 5 stars
Frequent_Buyer,Reviewed in India on 24 August 2021,Worthit,"
  good phone
",,4.0 out of 5 stars
Ramesh Babu Vinn,Reviewed in India on 24 August 2021,Ideal cell phone,"
  Cam is good
",,5.0 out of 5 stars
Parvendra Singh,Reviewed in India on 24 August 2021,"Everything ok, but wrist experience related to display, without any damage twice get faulty","
  Everything ok, but wrist experience related to display, without any damage twice get faulty
",,5.0 out of 5 stars
Vinoth kumar,Reviewed in India on 24 August 2021,Mobile is automatically  restarting,"
  Mobile  is automatically  restarting  ,gps not working  properly, finger print sensor  is not performing good
",,4.0 out of 5 stars
Sagar chaudhari,Reviewed in India on 24 August 2021,Good,"
  Very well
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,Most problematic handset I ever used.,"
  Their are many serious issues in this handset.Within 3 months it's touch screen got faulty, however got rectified.Afterwards there's issue in charging, camera, torch were not working.Finally get rid from this problematic handset
",,1.0 out of 5 stars
Garima Rathore,Reviewed in India on 24 August 2021,Very Good,"
  It's valuable phone in this price rangeSuper amoled screen .
",,5.0 out of 5 stars
saanvi.mk,Reviewed in India on 24 August 2021,Budget  and fulfilled requirements,"
  Value for money  worth with all requirements
",,5.0 out of 5 stars
G Naresh,Reviewed in India on 24 August 2021,Love you Amazon,"
  Good one
",,5.0 out of 5 stars
Munir gour,Reviewed in India on 24 August 2021,Good,"
  Good
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,'Samsung' always better than any other Chinese brand!,"
  Very nice phone! The front and back cameras are great. Photographs in low light also come clear. Images captured in potarit mode is also superb. The battery also lasts all day. The display is also great. Touch is smooth and superb but There is only skepticism about stock Android because this phone Downloading apps without our permission.
",,5.0 out of 5 stars
rajeev,Reviewed in India on 24 August 2021,Phone is good,"
  Quality of the camera is not as expected but battery life is good and fingerprint and touch is very fluent
",,3.0 out of 5 stars
madan,Reviewed in India on 24 August 2021,Finest in the range,"
  Macro mode was brilliant
",,4.0 out of 5 stars
anand,Reviewed in India on 24 August 2021,Waste of money.,"
  Pls don't buy any of samsung as it's a waste of money product... most of it you get will get defected soon..like leakage of colour on screen , hanging issue...and many more.
",,1.0 out of 5 stars
