Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
"Senior Software Engineer, Machine Learning",Uber,2-5 Yrs,Bangalore/Bengaluru,"deep learning
Software design
Publishing
Machine learning
SCALA
Architectural design
Data mining
Software implementation",3.9,(376 Reviews),Not disclosed,PREMIUM,30+ DAYS AGO
Data Scientist - Machine Learning,AugmatrixGo,2-5 Yrs,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",,,Not disclosed,PREMIUM,22 DAYS AGO
Co-Founder - Principal Data Scientist/Senior Data Scientist,Benovymed Healthcare Private Limited,2-7 Yrs,"Gurgaon/Gurugram, Delhi / NCR","Data Science
NLP
Data Scientist
Artificial Intelligence
Cofounder
Data Management
Data Analytics
Machine Learning",,,Not disclosed,PREMIUM,30+ DAYS AGO
Applied Scientist,Flipkart,0-2 Yrs,Bangalore/Bengaluru,"Product quality
deep learning
Operations research
Analytical
Business analytics
Machine learning
Product planning
Programming",4.2,(3476 Reviews),Not disclosed,HOT JOB,25 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,2-4 Yrs,Bangalore/Bengaluru,"IT Skills
Python
Machine Learning
Cloud
DevOps
Unix
Computer science
Business process",4.0,(18767 Reviews),Not disclosed,PREFERRED,13 DAYS AGO
Freshers ( Data Science | Artificial Intelligence ),Surensinffotek,0-5 Yrs,Hyderabad/Secunderabad,"Open CV
NLP
Machine Learning
Deep Learning
Chatbots
Artificial Intelligence
Keras
Python",,,"50,000 - 3,00,000 PA.",,29 DAYS AGO
Research Associate II - Data Science,Philips India Limited,2-4 Yrs,Bangalore/Bengaluru,"Computer science
Computer vision
Front end
Publishing
Image processing
Machine learning
Healthcare
Oncology",4.0,(510 Reviews),Not disclosed,,11 DAYS AGO
Analytics Engineer - Machine Learning,Yogy HR Solutions,2-6 Yrs,Mumbai,"algorithms
Machine Learning
Data Science
Big Data
Statistical Modeling
Analytics
Python
Predictive Analytics",,,Not disclosed,PREMIUM,25 DAYS AGO
Speech Scientist - Artificial Intelligence/ Machine Learning,Career Maker,2-6 Yrs,Noida,"IT Skills
Java
Python
Data Science
Machine Learning
Artificial Intelligence
C++
Image Processing",,,Not disclosed,HOT JOB,15 DAYS AGO
Lead Data Scientist - Deep Learning/Machine Learning,Okda Solutions,2-7 Yrs,Bangalore/Bengaluru,"SAS
communication
Cluster analysis
PyTorch
Linear Regression
Caffe
analytical
Theano",,,Not disclosed,PREMIUM,22 DAYS AGO
Data Science Senior Analyst,Accenture Solutions Pvt Ltd,2-5 Yrs,India,"IT Skills
Java
Python
Data Science
Machine Learning
Cloud
Big Data
Business process",4.0,(18767 Reviews),Not disclosed,PREFERRED,11 DAYS AGO
Machine Learning Technical Architect,Accenture Solutions Pvt Ltd,15-18 Yrs,Pune,"IT Skills
Python
Data Science
Machine Learning
Cloud
AWS
Azure
Computer science",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Machine learning and Python Trainer,Robust Results Pvt Ltd,2-4 Yrs,Kanpur,"Python
communication
Machine Learning
Artificial Intelligence
IT Skills
Natural Language Processing
Neural Networks",,,"3,00,000 - 6,00,000 PA.",,28 DAYS AGO
Data Scientist - Machine Learning,Catalyst,2-7 Yrs,Bangalore/Bengaluru,"Data Science
Data Quality
Data Scientist
Statistical Modeling
Statistical Analyst
Machine Learning",,,Not disclosed,PREMIUM,11 DAYS AGO
