Title,Company,Experience,Location,Ratings,Salary,Job_Type,Posted,Required Skills,Job Requirment
Senior Business Analyst- Data Science,Evalueserve.com Pvt. Ltd,2-7 Yrs,Bangalore/Bengaluru(Whitefield),3.4,Not disclosed,HOT JOB,7 DAYS AGO,"Data Science
Advanced Analystics","Roles and Responsibilities We are looking for exceptional individuals, who has demonstr..."
Data Engineer / Data Science - Big Data Engineer,Inflexion Analytix Private Limited,0-3 Yrs,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",,"3,25,000 - 4,25,000 PA.",HOT JOB,,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Cloud
Big Data
Data Engineering",Applications invited from all Freshers and experienced candidates (0-3 yrs) aspiring to...
Senior Analyst - Data Science,Tiger Analytics India LLP,2-7 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",3.8,Not disclosed,HOT JOB,,"python
verbal communication
R
written
Data Science
Artificial Intelligence
Data Analytics
Machine Learning",B Tech from Tier-1 college / MS or M Tech is preferred Proficient in a structured progr...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Python
Data Science
Artificial Intelligence
Analyst
Publishing
Architecture
Consulting",Skill required: Data Science - Natural Language Processing (NLP) Designation: Managemen...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Analyst
Publishing
Architecture
Consulting",Skill required: Data Science - Predictive Modeling and Analytics Designation: Managemen...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Business administration
Analyst
Publishing
Architecture
data science
Artificial Intelligence
Consulting
microsoft","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Artificial Intelligence
Analytical skills
Analyst
Publishing
Statistical analysis
Architecture",Skill required: Data Science - Statistical Analysis Designation: Management Level - Sen...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Business administration
Analyst
Publishing
Architecture","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Business administration
Analyst
Publishing
Architecture
data science
Consulting
Machine learning
Individual Contributor","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Python
Data Science
Artificial Intelligence
Business administration
Analyst
Publishing
Architecture","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Data Science Engineer,IBM India Pvt. Limited,6-10 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"VMware
Cloud computing
Computer languages
data science
Simulation
Machine learning
Open source
Team building",Experience in creating and using advanced machine learning algorithms and statistics su...
Analyst-Data Science,Accenture Solutions Pvt Ltd,1-3 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Analytical skills
Publishing
Statistical analysis
Architecture
data science
Artificial Intelligence
Consulting
Individual Contributor",Skill required: Data Science - Statistical Analysis Designation: Management Level - Ass...
Hot Vacancy - Data Science Analyst / Business Reporting Analyst,Jana Small Finance Bank Limited,1-4 Yrs,Bangalore/Bengaluru,3.9,"4,00,000 - 6,50,000 PA.",HOT JOB,,"Loans
SAS
Business Analytics
SQL
Credit Analysis
Business Reporting
MIS
Time Series",Location: Bangalore (Work from Office Only )Immediate Joiners to max 30 days notice onl...
