Entry_id,Exit_id,Entry_label,Exit_label,ods,path,direction,status,price,Date,ratetype
190NO,181ND,Braddock Road,495 Express End (near MD),od_1024,495,N,open,0.85,2021-09-26 11:30:36,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1025,495,N,open,0.90,2021-09-26 11:29:21,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1026,495,N,open,1.10,2021-09-26 11:30:36,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1027,495,N,open,1.30,2021-09-26 11:29:21,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1028,495,N,open,1.50,2021-09-26 11:29:21,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1029,495,N,open,1.70,2021-09-26 11:30:36,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1030,495,N,open,0.85,2021-09-26 11:30:37,SIGN
190NO,181ND,Braddock Road,495 Express End (near MD),od_1031,495,N,open,0.85,2021-09-26 11:29:23,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1032,495,N,open,0.85,2021-09-26 11:30:37,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1033,495,N,open,0.85,2021-09-26 11:29:23,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1034,495,N,open,1.00,2021-09-26 11:30:37,SIGN
190NO,181ND,Braddock Road,495 Express End (near MD),od_1035,495,N,open,0.85,2021-09-26 11:30:36,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1036,495,N,open,0.85,2021-09-26 11:30:36,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1037,495,N,open,0.85,2021-09-26 11:30:35,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1038,495,N,open,0.85,2021-09-26 11:30:34,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1039,495,S,open,2.50,2021-09-26 11:29:22,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1040,495,S,open,2.50,2021-09-26 11:29:22,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1041,495,S,open,2.50,2021-09-26 11:30:38,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1042,495,S,open,2.20,2021-09-26 11:29:22,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1043,495,S,open,1.70,2021-09-26 11:29:22,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1044,495,S,open,1.10,2021-09-26 11:30:38,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1045,495,S,open,0.85,2021-09-26 11:29:22,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1046,495,S,open,0.85,2021-09-26 11:30:38,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1047,495,S,open,2.30,2021-09-26 11:29:26,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1048,495,S,open,2.30,2021-09-26 11:29:26,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1049,495,S,open,2.30,2021-09-26 11:30:33,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1050,495,S,open,2.00,2021-09-26 11:29:26,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1051,495,S,open,1.50,2021-09-26 11:29:26,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1052,495,S,open,0.90,2021-09-26 11:30:33,DTA
190NO,181ND,Braddock Road,495 Express End (near MD),od_1053,495,S,open,0.85,2021-09-26 11:30:33,DTA
