Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 27, 2021",705.00,715.00,702.10,711.92,711.92,"13,762,100"
"Aug 26, 2021",708.31,715.40,697.62,701.16,701.16,"13,214,300"
"Aug 25, 2021",707.03,716.97,704.00,711.20,711.20,"12,645,600"
"Aug 24, 2021",710.68,715.22,702.64,708.49,708.49,"13,083,100"
"Aug 23, 2021",685.44,712.13,680.75,706.30,706.30,"20,264,900"
"Aug 20, 2021",682.85,692.13,673.70,680.26,680.26,"14,781,800"
"Aug 19, 2021",678.21,686.55,667.59,673.47,673.47,"14,313,500"
"Aug 18, 2021",669.75,695.77,669.35,688.99,688.99,"20,349,400"
"Aug 17, 2021",672.66,674.58,648.84,665.71,665.71,"23,721,300"
"Aug 16, 2021",705.07,709.50,676.40,686.17,686.17,"22,677,400"
"Aug 13, 2021",723.71,729.90,714.34,717.17,717.17,"16,698,900"
"Aug 12, 2021",706.34,722.80,699.40,722.25,722.25,"17,459,100"
"Aug 11, 2021",712.71,715.18,704.21,707.82,707.82,"9,800,600"
"Aug 10, 2021",713.99,716.59,701.88,709.99,709.99,"13,432,300"
"Aug 09, 2021",710.17,719.03,705.13,713.76,713.76,"14,715,300"
"Aug 06, 2021",711.90,716.33,697.63,699.10,699.10,"15,576,200"
"Aug 05, 2021",716.00,720.95,711.41,714.63,714.63,"12,919,600"
"Aug 04, 2021",711.00,724.90,708.93,710.92,710.92,"17,002,600"
"Aug 03, 2021",719.00,722.65,701.01,709.74,709.74,"21,620,300"
"Aug 02, 2021",700.00,726.94,698.40,709.67,709.67,"33,615,800"
"Jul 30, 2021",671.76,697.53,669.00,687.20,687.20,"29,600,500"
"Jul 29, 2021",649.79,683.69,648.80,677.35,677.35,"30,394,600"
"Jul 28, 2021",647.00,654.97,639.40,646.98,646.98,"16,006,600"
"Jul 27, 2021",663.40,666.50,627.24,644.78,644.78,"32,813,300"
"Jul 26, 2021",650.97,668.20,647.11,657.62,657.62,"25,336,600"
"Jul 23, 2021",646.36,648.80,637.30,643.38,643.38,"14,604,900"
"Jul 22, 2021",656.44,662.17,644.60,649.26,649.26,"15,105,700"
"Jul 21, 2021",659.61,664.86,650.29,655.29,655.29,"13,953,300"
"Jul 20, 2021",651.99,662.39,640.50,660.50,660.50,"15,487,100"
"Jul 19, 2021",629.89,647.20,621.29,646.22,646.22,"21,297,100"
"Jul 16, 2021",654.68,656.70,642.20,644.22,644.22,"16,371,000"
"Jul 15, 2021",658.39,666.14,637.88,650.60,650.60,"20,209,600"
"Jul 14, 2021",670.75,678.61,652.84,653.38,653.38,"21,641,200"
"Jul 13, 2021",686.32,693.28,666.30,668.54,668.54,"20,966,100"
"Jul 12, 2021",662.20,687.24,662.16,685.70,685.70,"25,927,000"
"Jul 09, 2021",653.18,658.91,644.69,656.95,656.95,"18,140,500"
"Jul 08, 2021",628.37,654.43,620.46,652.81,652.81,"22,773,300"
"Jul 07, 2021",664.27,665.70,638.32,644.65,644.65,"18,792,000"
"Jul 06, 2021",681.71,684.00,651.40,659.58,659.58,"23,284,500"
"Jul 02, 2021",678.98,700.00,673.26,678.90,678.90,"27,054,500"
"Jul 01, 2021",683.92,687.99,672.80,677.92,677.92,"18,634,500"
"Jun 30, 2021",679.77,692.81,678.14,679.70,679.70,"18,924,900"
"Jun 29, 2021",684.65,687.51,675.89,680.76,680.76,"17,381,300"
"Jun 28, 2021",671.64,694.70,670.32,688.72,688.72,"21,628,200"
"Jun 25, 2021",689.58,693.81,668.70,671.87,671.87,"32,496,700"
"Jun 24, 2021",674.99,697.62,667.61,679.82,679.82,"45,982,400"
"Jun 23, 2021",632.00,657.20,630.04,656.57,656.57,"31,099,200"
"Jun 22, 2021",618.25,628.57,615.50,623.71,623.71,"19,158,900"
"Jun 21, 2021",624.48,631.39,608.88,620.83,620.83,"24,812,700"
"Jun 18, 2021",613.37,628.35,611.80,623.31,623.31,"24,560,900"
"Jun 17, 2021",601.89,621.47,601.34,616.60,616.60,"22,701,400"
"Jun 16, 2021",597.54,608.50,593.50,604.87,604.87,"22,144,100"
"Jun 15, 2021",616.69,616.79,598.23,599.36,599.36,"17,764,100"
"Jun 14, 2021",612.23,625.49,609.18,617.69,617.69,"20,424,000"
"Jun 11, 2021",610.23,612.56,601.52,609.89,609.89,"16,205,300"
"Jun 10, 2021",603.88,616.59,600.50,610.12,610.12,"23,919,600"
"Jun 09, 2021",602.17,611.79,597.63,598.78,598.78,"16,584,600"
"Jun 08, 2021",623.01,623.09,595.50,603.59,603.59,"26,053,400"
"Jun 07, 2021",591.83,610.00,582.88,605.13,605.13,"22,543,700"
"Jun 04, 2021",579.71,600.61,577.20,599.05,599.05,"24,036,900"
"Jun 03, 2021",601.80,604.55,571.22,572.84,572.84,"30,111,900"
"Jun 02, 2021",620.13,623.36,599.14,605.12,605.12,"23,302,800"
"Jun 01, 2021",627.80,633.80,620.55,623.90,623.90,"18,084,900"
"May 28, 2021",628.50,635.59,622.38,625.22,625.22,"22,737,000"
"May 27, 2021",620.24,631.13,616.21,630.85,630.85,"26,370,600"
"May 26, 2021",607.56,626.17,601.50,619.13,619.13,"28,639,300"
"May 25, 2021",607.31,613.99,595.71,604.69,604.69,"28,005,900"
"May 24, 2021",581.60,614.48,573.65,606.44,606.44,"34,558,100"
"May 21, 2021",596.11,596.68,580.00,580.88,580.88,"26,030,600"
"May 20, 2021",575.00,588.85,571.07,586.78,586.78,"30,821,100"
"May 19, 2021",552.55,566.21,546.98,563.46,563.46,"39,578,400"
"May 18, 2021",568.00,596.25,563.38,577.87,577.87,"36,830,600"
"May 17, 2021",575.55,589.73,561.20,576.83,576.83,"32,390,400"
"May 14, 2021",583.41,592.87,570.46,589.74,589.74,"33,370,900"
"May 13, 2021",601.54,606.46,559.65,571.69,571.69,"44,184,900"
"May 12, 2021",602.49,620.41,586.77,589.89,589.89,"33,823,600"
"May 11, 2021",599.24,627.10,595.60,617.20,617.20,"46,503,900"
"May 10, 2021",664.90,665.05,627.61,629.04,629.04,"31,392,400"
"May 07, 2021",665.80,690.00,660.22,672.37,672.37,"23,469,200"
"May 06, 2021",680.76,681.02,650.00,663.54,663.54,"27,784,600"
"May 05, 2021",681.06,685.30,667.34,670.94,670.94,"21,901,900"
"May 04, 2021",678.94,683.45,657.70,673.60,673.60,"29,739,300"
"May 03, 2021",703.80,706.00,680.50,684.90,684.90,"27,043,100"
"Apr 30, 2021",667.59,715.47,666.14,709.44,709.44,"40,758,700"
"Apr 29, 2021",699.51,702.25,668.50,677.00,677.00,"28,845,400"
"Apr 28, 2021",696.41,708.50,693.60,694.40,694.40,"22,271,000"
"Apr 27, 2021",717.96,724.00,703.35,704.74,704.74,"29,437,000"
"Apr 26, 2021",741.00,749.30,732.61,738.20,738.20,"31,038,500"
"Apr 23, 2021",719.80,737.36,715.46,729.40,729.40,"28,370,000"
"Apr 22, 2021",741.50,753.77,718.04,719.69,719.69,"35,590,300"
"Apr 21, 2021",704.77,744.84,698.00,744.12,744.12,"31,215,500"
"Apr 20, 2021",717.42,737.25,710.69,718.99,718.99,"35,609,000"
"Apr 19, 2021",719.60,725.40,691.80,714.63,714.63,"39,686,200"
"Apr 16, 2021",728.65,749.41,724.60,739.78,739.78,"27,979,500"
"Apr 15, 2021",743.10,743.69,721.31,738.85,738.85,"27,848,900"
"Apr 14, 2021",770.70,780.79,728.03,732.23,732.23,"49,017,400"
"Apr 13, 2021",712.70,763.00,710.66,762.32,762.32,"44,652,800"
"Apr 12, 2021",685.70,704.80,682.09,701.98,701.98,"29,135,700"
"Apr 09, 2021",677.77,680.97,669.43,677.02,677.02,"21,437,100"
"Apr 08, 2021",677.38,689.55,671.65,683.80,683.80,"23,924,300"
"Apr 07, 2021",687.00,691.38,667.84,670.97,670.97,"26,309,400"
"Apr 06, 2021",690.30,696.55,681.37,691.62,691.62,"28,271,800"
"Apr 05, 2021",707.71,708.16,684.70,691.05,691.05,"41,842,800"
"Apr 01, 2021",688.37,692.42,659.42,661.75,661.75,"35,298,400"
"Mar 31, 2021",646.62,672.00,641.11,667.93,667.93,"33,337,300"
"Mar 30, 2021",601.75,637.66,591.01,635.62,635.62,"39,432,400"
"Mar 29, 2021",615.64,616.48,596.02,611.29,611.29,"28,637,000"
"Mar 26, 2021",641.87,643.82,599.89,618.71,618.71,"33,852,800"
"Mar 25, 2021",613.00,645.50,609.50,640.39,640.39,"39,224,900"
"Mar 24, 2021",667.91,668.02,630.11,630.27,630.27,"33,795,200"
"Mar 23, 2021",675.77,677.80,657.51,662.16,662.16,"30,491,900"
"Mar 22, 2021",684.59,699.62,668.75,670.00,670.00,"39,512,200"
"Mar 19, 2021",646.60,657.23,624.62,654.87,654.87,"42,894,000"
"Mar 18, 2021",684.29,689.23,652.00,653.16,653.16,"33,224,800"
"Mar 17, 2021",656.87,703.73,651.01,701.81,701.81,"40,372,500"
"Mar 16, 2021",703.35,707.92,671.00,676.88,676.88,"32,195,700"
"Mar 15, 2021",694.09,713.18,684.04,707.94,707.94,"29,335,600"
"Mar 12, 2021",670.00,694.88,666.14,693.73,693.73,"33,583,800"
"Mar 11, 2021",699.40,702.50,677.18,699.60,699.60,"36,253,900"
"Mar 10, 2021",700.30,717.85,655.06,668.06,668.06,"60,605,700"
"Mar 09, 2021",608.18,678.09,595.21,673.58,673.58,"67,523,300"
"Mar 08, 2021",600.55,620.13,558.79,563.00,563.00,"51,787,000"
"Mar 05, 2021",626.06,627.84,539.49,597.95,597.95,"89,396,500"
"Mar 04, 2021",655.80,668.45,600.00,621.44,621.44,"65,919,500"
"Mar 03, 2021",687.99,700.70,651.71,653.20,653.20,"30,208,000"
"Mar 02, 2021",718.28,721.11,685.00,686.44,686.44,"23,732,200"
"Mar 01, 2021",690.11,719.00,685.05,718.43,718.43,"27,136,200"
"Feb 26, 2021",700.00,706.70,659.51,675.50,675.50,"41,089,200"
"Feb 25, 2021",726.15,737.21,670.58,682.22,682.22,"39,023,900"
"Feb 24, 2021",711.85,745.00,694.17,742.02,742.02,"36,767,000"
"Feb 23, 2021",662.13,713.61,619.00,698.84,698.84,"66,606,900"
"Feb 22, 2021",762.64,768.50,710.20,714.50,714.50,"37,269,700"
"Feb 19, 2021",795.00,796.79,777.37,781.30,781.30,"18,958,300"
"Feb 18, 2021",780.90,794.69,776.27,787.38,787.38,"17,957,100"
"Feb 17, 2021",779.09,799.84,762.01,798.15,798.15,"25,996,500"
"Feb 16, 2021",818.00,821.00,792.44,796.22,796.22,"19,802,300"
"Feb 12, 2021",801.26,817.33,785.33,816.12,816.12,"23,768,300"
"Feb 11, 2021",812.44,829.88,801.73,811.66,811.66,"21,622,800"
"Feb 10, 2021",843.64,844.82,800.02,804.82,804.82,"36,216,100"
"Feb 09, 2021",855.12,859.80,841.75,849.46,849.46,"15,157,700"
"Feb 08, 2021",869.67,877.77,854.75,863.42,863.42,"20,161,700"
"Feb 05, 2021",845.00,864.77,838.97,852.23,852.23,"18,566,600"
"Feb 04, 2021",855.00,856.50,833.42,849.99,849.99,"15,812,700"
