User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Küghalu Mülatonu,2 months ago,"What Russia couldn't achieve in 9 years, the US failed in 20 years.",5.6K,View 429 replies
,4 days ago,Afghanistan. The graveyard of the empires.,363,View 31 replies
Mike Julie,3 days ago,"With hindsight, this item was spot on. Hats off Al Jazeera",39,
Werner S,1 day ago,"The follow-up to this should be, “Who Were the Afghan Army?”",53,View reply
KM,1 day ago,"Yes, "" there own interpretation of Islam "".
Not Islam as we know",11,
Will,1 week ago,"“They even got money from the CIA”

Gotta love the U.S.",2.1K,View 84 replies
Anna K47,1 day ago,The tone at the end is very disturbing. The last few lines are almost admiration and affirmation of a group that has proven over and over again that they are little more than extreme fundamentalists not above terrorizing anyone who doesn't agree with their deliberately twisted views.,4,
junejuly animations,5 days ago,"""So far, their strategy seemed to have worked.""

Absolutely right.",346,View 8 replies
Naveen Magapu,5 days ago,Why is her voice so smooth and soothing? She could host podcasts and read audio books.,458,View 31 replies
Funny Bunny,4 days ago,If anyone has a real life Iron Man suit now would be a great time to use it,154,View 9 replies
MrOrientalism,2 months ago (edited),"Bush: taliban will pay the price 
US tax payers: hold my trillionss $$$$",1.9K,View 58 replies
Weasel Drizzle,3 days ago,"“They’re like ants. No matter how many times you kick their ant hill, they always come back to build another.” -My brother",170,View 10 replies
Michael Keon,4 days ago,"Bush: The Taliban will pay a price....
Taliban: Hold my goat's milk....
20 years later
Taliban: I'll take my milk back now.",199,View 11 replies
Warren Ramirez,1 day ago,Always appreciate Governor Noem's insights - a tremendous Public Service inspiration. |,1,
Zhanna Budennaya,1 day ago,"These propagan-, er, ""comedians"" have contributed so much to the division and hatred that's ruining this country. It's sad that they think of themselves as great Americans. I hope history gives them the treatment they deserve. |",2,
Tuhin Khan,2 months ago,"Bush said Taliban had to pay the price, but the guys who paid the price are Afghani Civillians and Iraq's Civillians",4.5K,View 159 replies
YT Codcaster,1 day ago,Breaking News: Mike is proving everything. It’s so overwhelming and now there’s no doubt. The pillow guy nailed it! |,7,
Shadow Nestea,1 day ago,It’s nice to see real people speaking up! |,2,
lisa scott,6 days ago,The USA spent trillions over there yet our people are standing at food banks and living in tents.  Sorry but something isn’t right!,364,View 31 replies
Robert Weidner,1 day ago,The leadership we have in this country right now struggles with everything. |,1,
Anar ltd,1 month ago (edited),Everyone has used Afghanistan for their own personal gains. No one cares about Afghans life.,1.9K,View 96 replies
Beebo,1 hour ago (edited),Supercomputer A wants Supercomputer B to run Software A. Supercomputer B rejects Software A and wants to run Software B. Supercomputer A implants virus into Supercomputer B so it will run Software A. Supercomputer B fights virus and continues to run Software B.,,
Charlie Jones,2 days ago,The borders were drawn by western nations. The Afghanistan people don't recognize them. Just stay out of their business. WE are not the world police.,5,
